article_id,year,decade,journal,title
D8A2B2ECFB,1982,1980s,Cataloging & Classification Quarterly,Usefulness of OCLC Archive Tapes as a Basis for Local Online Systems
B4C095B947,1983,1980s,Cataloging & Classification Quarterly,A Comparison of Cataloging Codes for Serials
F078809192,1983,1980s,Cataloging & Classification Quarterly,AACR2 and Serial Cataloging
0E1B161CE6,1983,1980s,Cataloging & Classification Quarterly,AACR2 and Serials Management
9A96C50C5C,1983,1980s,Cataloging & Classification Quarterly,AACR2 and Series
52008235CD,1983,1980s,Cataloging & Classification Quarterly,AACR2 and the Small Academic Library
86226E231A,1983,1980s,Cataloging & Classification Quarterly,AACR2 from an Information Scientist's Point of View
D79D1633CE,1983,1980s,Cataloging & Classification Quarterly,AACR2 Serial Records and the User
4FC0D50B69,1983,1980s,Cataloging & Classification Quarterly,AACR2 Serials Cataloging and Management
A6FBC48E5B,1983,1980s,Cataloging & Classification Quarterly,An Investigation of the Semantic Bases of Some Theoretical Principles of Classification Proposed by Austin and the CRG
856DA32CC3,1983,1980s,Cataloging & Classification Quarterly,Art Sales and Exhibitions
6A1865B8A4,1983,1980s,Cataloging & Classification Quarterly,Cataloging Theory and Serials
0D74E1517B,1983,1980s,Cataloging & Classification Quarterly,Communications
E3D928203C,1983,1980s,Cataloging & Classification Quarterly,Comparison of OCLC and RLIN
0A03136230,1983,1980s,Cataloging & Classification Quarterly,Constraints of the 3 x 5 Card
17C02CE70C,1983,1980s,Cataloging & Classification Quarterly,Conversion of Catalog Records to Machine-Readable Form
57FDA6156D,1983,1980s,Cataloging & Classification Quarterly,Hebrew and Yiddish Personal Name Authorities under AACR2
F1FAA5BEFD,1983,1980s,Cataloging & Classification Quarterly,Index
55150A3569,1983,1980s,Cataloging & Classification Quarterly,Indexing for Subject Cataloguers
76286692B9,1983,1980s,Cataloging & Classification Quarterly,Integration of Nonbook Materials in AACR2
52031F5A30,1983,1980s,Cataloging & Classification Quarterly,Letter to the Editor
3EB00CD06D,1983,1980s,Cataloging & Classification Quarterly,"Library of Congress Subject Heading Period Subdivisions for East Asia, South Asia, and Asia in General"
83531E5FFB,1983,1980s,Cataloging & Classification Quarterly,Library of Congress Subject Heading Period Subdivisions for West Asia and the Near East in Genera
0189431740,1983,1980s,Cataloging & Classification Quarterly,Mutating the Genome
B3F78AB897,1983,1980s,Cataloging & Classification Quarterly,Serial Cataloging under AACR2
798E9C2990,1983,1980s,Cataloging & Classification Quarterly,Serials Departments and AACR2
52B17A7041,1983,1980s,Cataloging & Classification Quarterly,Serials Management and AACR2 in Large Academic Libraries
ECD1945DFE,1983,1980s,Cataloging & Classification Quarterly,Subject Anaylsis Systems
ABC08E50BF,1983,1980s,Cataloging & Classification Quarterly,The Classification of African History by the Library of Congress
0DB7505B38,1983,1980s,Cataloging & Classification Quarterly,The Classification of Biographical Dictionaries in Reference Collections Using the Library of Congress Classification System
3D765C627B,1983,1980s,Cataloging & Classification Quarterly,The Concept of Intellectual Level in Cataloging and Classification
E1571CF78B,1983,1980s,Cataloging & Classification Quarterly,The Effect of AACR2 and Serials Cataloging on Medium-Sized Research Libraries
30CC259DAA,1983,1980s,Cataloging & Classification Quarterly,The Impact of AACR2 on Union Lists of Serials
01D7675A25,1983,1980s,Cataloging & Classification Quarterly,"The Periodical, the Patron, and AACR2"
6D3173C68E,1983,1980s,Cataloging & Classification Quarterly,The Principle of Uniform Heading in Descriptive Cataloging
C4EDA0A428,1983,1980s,Cataloging & Classification Quarterly,The Use and Users of COM Catalogues at the University of Toronto and the Mississauga Library System
B166193E13,1983,1980s,Cataloging & Classification Quarterly,Unpublished Film and Television Scripts
7BCE72475A,1984,1980s,Cataloging & Classification Quarterly,A Classification Scheme for Textbooks and Curriculum Materials
CF5FE4DEA9,1984,1980s,Cataloging & Classification Quarterly,"A Study of the Use of the Subject Catalog, Marriott Library, University of Utah"
D35810C692,1984,1980s,Cataloging & Classification Quarterly,AACR2
FB595E1D9C,1984,1980s,Cataloging & Classification Quarterly,Adapting Library of Congress Subject Headings for Newspaper Indexing
F06AA658AE,1984,1980s,Cataloging & Classification Quarterly,An Analysis of User Errors in Searching an Online Catalog
00EC373601,1984,1980s,Cataloging & Classification Quarterly,Authority Files in Online Catalogs
C5D6E572C5,1984,1980s,Cataloging & Classification Quarterly,Cataloging Vacancies in Academic Libraries
1A51AE27CA,1984,1980s,Cataloging & Classification Quarterly,Classification of Melanesia
FBA99C241C,1984,1980s,Cataloging & Classification Quarterly,Describing a Picture: A Thousand Words are Seldom Cost Effective
4653A40885,1984,1980s,Cataloging & Classification Quarterly,Hulme's Concept of Literary Warrant
5955C34BF5,1984,1980s,Cataloging & Classification Quarterly,LIAS
A130F1AA9C,1984,1980s,Cataloging & Classification Quarterly,Library of Congress Subject Heading Period Subdivisions for Africa: Some Proposed Additions
B82C057A1E,1984,1980s,Cataloging & Classification Quarterly,Library of Congress Subject Heading Period Subdivisions for Latin America
409F2DF5A0,1984,1980s,Cataloging & Classification Quarterly,MARC CIP Records and MARC LC Records
C70D1999FD,1984,1980s,Cataloging & Classification Quarterly,On Cataloging and Classifying Chinese History
F37D972A5C,1984,1980s,Cataloging & Classification Quarterly,Subject Access to Urban Studies Monographs
0776648A19,1984,1980s,Cataloging & Classification Quarterly,The ARL Microform Project for the Bibliographic Control of Microforms: Report on a Survey of Microform Sets in U.S. and Canadian Libraries
8BEE19E1DC,1984,1980s,Cataloging & Classification Quarterly,The Bibliographic Control of Rare Books
EC6A45973E,1984,1980s,Cataloging & Classification Quarterly,Variation Between Personal Name Headings and Title Page Usage
045B006BE1,1985,1980s,Cataloging & Classification Quarterly,A Quantitative Method for Evaluating the Quality of Cataloging
CFFB007C0E,1985,1980s,Cataloging & Classification Quarterly,Business-Oriented Software
02D5784957,1985,1980s,Cataloging & Classification Quarterly,Cataloging and a Bibliographic Republic
ED2C3DC35A,1985,1980s,Cataloging & Classification Quarterly,Cataloging of Theses
B388809CF3,1985,1980s,Cataloging & Classification Quarterly,Describing Reproductions
4F20799F29,1985,1980s,Cataloging & Classification Quarterly,Educating the Dinosaur
8F14FC8E6A,1985,1980s,Cataloging & Classification Quarterly,Educational Game Software
AAEC33B9E5,1985,1980s,Cataloging & Classification Quarterly,Educational Software-
23C8C26AF1,1985,1980s,Cataloging & Classification Quarterly,Enhanced Access to Pamphlets
35BCD20856,1985,1980s,Cataloging & Classification Quarterly,Enhancing a National Database
E02421C293,1985,1980s,Cataloging & Classification Quarterly,Establishing Slavic Headings Under AACR2
9B18554E2A,1985,1980s,Cataloging & Classification Quarterly,Geographic Headings Online
DF032F9EBA,1985,1980s,Cataloging & Classification Quarterly,Languages of Melanesia
25D7FA8A89,1985,1980s,Cataloging & Classification Quarterly,Law Book Copy Cataloging on OCLC
37D7C803FE,1985,1980s,Cataloging & Classification Quarterly,LC Classification of a Library and Information Science Library for Maximum Shelf Retrieval
F39E8A1E6A,1985,1980s,Cataloging & Classification Quarterly,"Library of Congress Subject Heading Period Subdivisions for Australia, New Zealand and Selected World Islands"
D30CC08F69,1985,1980s,Cataloging & Classification Quarterly,Library of Congress Subject Heading Period Subdivisions for Eastern Europe Excluding the Soviet Union
608AB3546C,1985,1980s,Cataloging & Classification Quarterly,Online Catalog Maintenance
2A8291B306,1985,1980s,Cataloging & Classification Quarterly,Ottoman Turkish Cataloging I
99BFF08FF9,1985,1980s,Cataloging & Classification Quarterly,Peoples of Melanesia
7C377CED0C,1985,1980s,Cataloging & Classification Quarterly,Problems and Solutions in Descriptive Cataloging of Microcomputer Software
ADC98AE231,1985,1980s,Cataloging & Classification Quarterly,Reclassification in an Automated Environment
5173D562C8,1985,1980s,Cataloging & Classification Quarterly,Rule of Three
A574ED17D1,1985,1980s,Cataloging & Classification Quarterly,Selected Sources
2E68FB7E48,1985,1980s,Cataloging & Classification Quarterly,Simplification Methods for MRDF Cataloging
70C6963288,1985,1980s,Cataloging & Classification Quarterly,The Cataloger's Bookshelf
F9A7768B97,1985,1980s,Cataloging & Classification Quarterly,The Future
E04742A849,1985,1980s,Cataloging & Classification Quarterly,Theoretical Considerations in the Bibliographic Control of Music Materials in Libraries
119AD0FCD9,1985,1980s,Cataloging & Classification Quarterly,"Traditional Interpretations of ""Authorship"" and ""Responsibility"" in the Description of Scientific and Technical Documents"
EBE2DD6A68,1985,1980s,Cataloging & Classification Quarterly,"Why Not an ""AACR"" for Subject Headings?"
39088873EB,1986,1980s,Cataloging & Classification Quarterly,A Review of Recent Developments in Rare Books Cataloging
397409ABCF,1986,1980s,Cataloging & Classification Quarterly,A Study of Humanities Faculty Library Information Seeking Behavior
D6996E7A2B,1986,1980s,Cataloging & Classification Quarterly,An Expert System for Determining Title Proper in Descriptive Cataloging
F93A0E287A,1986,1980s,Cataloging & Classification Quarterly,Analyzing the Subject of a Picture: A Theoretical Approach
B5756ECE57,1986,1980s,Cataloging & Classification Quarterly,Cataloging Microcomputer Software:
E4A877441B,1986,1980s,Cataloging & Classification Quarterly,Challenges of On-Site Cataloging
6F7350DC19,1986,1980s,Cataloging & Classification Quarterly,Coordination of Cataloging Practices in the United States Newspaper Program
BFF1328FC3,1986,1980s,Cataloging & Classification Quarterly,Copy Cataloging Activities:
05E1EC61FE,1986,1980s,Cataloging & Classification Quarterly,Guest Editorial
52C1928F43,1986,1980s,Cataloging & Classification Quarterly,Library of Congress Subject Heading Period Subdivisions for the Soviet Union: Some Proposed Additions
06B3B0D8F7,1986,1980s,Cataloging & Classification Quarterly,More Law Book Cataloging Questions
8B04A1FCD3,1986,1980s,Cataloging & Classification Quarterly,NACO at the University of Illinois at U-C
A184902773,1986,1980s,Cataloging & Classification Quarterly,Networking Priorities for Standards Developments
830DFBB651,1986,1980s,Cataloging & Classification Quarterly,Newspapers and Their Readers
20F217FCA1,1986,1980s,Cataloging & Classification Quarterly,Online Catalogs:
4FCC9B0477,1986,1980s,Cataloging & Classification Quarterly,Pattern Indexing:
64004AFC12,1986,1980s,Cataloging & Classification Quarterly,Perspectives on the Pennsylvania Newspaper Project at the University of Pittsburgh
A8C2CDF416,1986,1980s,Cataloging & Classification Quarterly,Rethinking National Policy for Cataloging Microform Reproductions
A91AE2276A,1986,1980s,Cataloging & Classification Quarterly,Serials Control in an Online Integrated System
C110948626,1986,1980s,Cataloging & Classification Quarterly,Shared Cataloging
F13CBB4DE0,1986,1980s,Cataloging & Classification Quarterly,Subject Authority Control and Syndetic Structure- Myth and Realities
06B88391D1,1986,1980s,Cataloging & Classification Quarterly,The Name Authority Co-op (NACO) Project at the Library of Congress
6ACE41F56F,1986,1980s,Cataloging & Classification Quarterly,The National Endowment for the Humanities and the United States Newspaper Program
5173384B00,1986,1980s,Cataloging & Classification Quarterly,The Newspaper Cataloging Manual and AACR2
FEC164B122,1986,1980s,Cataloging & Classification Quarterly,Title Page Sanctity? The Distribution of Access Points in a Sample of English Language Monographs
C234715941,1987,1980s,Cataloging & Classification Quarterly,A Tale of Two Serials Catalogers
08F1A97BEA,1987,1980s,Cataloging & Classification Quarterly,Artists and Poets Online
6198A24C86,1987,1980s,Cataloging & Classification Quarterly,Cataloging Instruction for Public Service Librarians
41585297DA,1987,1980s,Cataloging & Classification Quarterly,Classification for Astronomy
62C1974CA1,1987,1980s,Cataloging & Classification Quarterly,"Descriptive Cataloging Education in Library Schools, Using the University of Washington as a Specific Example"
CD7243A6B4,1987,1980s,Cataloging & Classification Quarterly,Education and Training of Cataloging Staff at the Library of Congress
5C34D6DC66,1987,1980s,Cataloging & Classification Quarterly,Education for Positions in the Subject Control of Information
6B0C87C1D9,1987,1980s,Cataloging & Classification Quarterly,Ethno-Linguistic Misrepresentations of the Alaskan Native Languages as Mirrored in the Library of Congress System of Cataloging and Classification
C36A2B2DE8,1987,1980s,Cataloging & Classification Quarterly,Instructional Materials Used in Teaching Cataloging and Classification
0C6286C26D,1987,1980s,Cataloging & Classification Quarterly,Learning to Catalog
D72DF97F65,1987,1980s,Cataloging & Classification Quarterly,Library of Congress Response to Library of Congress Subject Headings
E30673F6B1,1987,1980s,Cataloging & Classification Quarterly,"Library of Congress Subject Heading Period Subdivisions for the History of Canadian Regions, Provinces, and Territories"
07D1906884,1987,1980s,Cataloging & Classification Quarterly,Library of Congress Subject Heading Period Subdivisions for the History of the Individual States of the United States
A994A37C5D,1987,1980s,Cataloging & Classification Quarterly,Management of Original Cataloging Activities in a Decentralized System
658E9B9FA9,1987,1980s,Cataloging & Classification Quarterly,Near or Middle East? Choice of Name
E3D60731AC,1987,1980s,Cataloging & Classification Quarterly,Nineteen Thirty-Eight to Today
49C2CC759A,1987,1980s,Cataloging & Classification Quarterly,On-The-Job Training for Catalog Librarians
44309C6EEA,1987,1980s,Cataloging & Classification Quarterly,On-The-Job Training for Cataloging and Classification
B4B4244523,1987,1980s,Cataloging & Classification Quarterly,Quo Vadis Specialization? The Current Status of Catholic Schemas in Light of Vatican II and OCLC
F7E24EA839,1987,1980s,Cataloging & Classification Quarterly,Searching and Browsing the Dewey Decimal Classification in an Online Catalog
A0B1817091,1987,1980s,Cataloging & Classification Quarterly,Some Persistent Issues in the Education of Catalogers and Classifiers
FDA11A3D4C,1987,1980s,Cataloging & Classification Quarterly,Statistical Survey to Determine Availability of Cataloging Copy on OCLC
45111165C7,1987,1980s,Cataloging & Classification Quarterly,Subject Heading Revision
316BDBB359,1987,1980s,Cataloging & Classification Quarterly,The Cataloging Experience in Library and Information Science Education
C313BD99CB,1987,1980s,Cataloging & Classification Quarterly,The Consolidated Reprinting of AACR 2
43E5BD56A1,1987,1980s,Cataloging & Classification Quarterly,The Implementation of ACORN Authority Control at Vanderbilt University Library
0CA5C6FE94,1987,1980s,Cataloging & Classification Quarterly,"The Problems of Development, Maintenance, and Automation of Authority Files in Nigeria"
ADC23024FC,1987,1980s,Cataloging & Classification Quarterly,The Teaching of Cataloging
1F17DAD746,1987,1980s,Cataloging & Classification Quarterly,Toward a Bibliographic Common Cause
ADFDC2D28E,1988,1980s,Cataloging & Classification Quarterly,A Case for Pre-Order Searching in the Catalog Department
BDC1065225,1988,1980s,Cataloging & Classification Quarterly,Australia
D672ECA3DE,1988,1980s,Cataloging & Classification Quarterly,Authority Control and Linked Bibliographic Databases
EF2422222B,1988,1980s,Cataloging & Classification Quarterly,Bibliographic Databases Produced in Italy
08E8411029,1988,1980s,Cataloging & Classification Quarterly,Bibliographical Databases in German-Speaking Countries
BE76981741,1988,1980s,Cataloging & Classification Quarterly,Building a Caribbean Bibliographic Database
51911F38C6,1988,1980s,Cataloging & Classification Quarterly,Building a Latin American Bibliographic Database
8126A9CF2E,1988,1980s,Cataloging & Classification Quarterly,CATALOGING NEWS AND BRIEF COMMUNICATIONS
BAC71503BC,1988,1980s,Cataloging & Classification Quarterly,Cataloging of Curriculum Materials on OCLC
967A91C108,1988,1980s,Cataloging & Classification Quarterly,Chinese Names Containing a Non-Chinese Given Name
866F9EBAD9,1988,1980s,Cataloging & Classification Quarterly,Classification of Materials on the Bahá'í Religion
9C371DD5F0,1988,1980s,Cataloging & Classification Quarterly,CONSER
8AB860AC6D,1988,1980s,Cataloging & Classification Quarterly,DDC Classification Rules
1DC3342A97,1988,1980s,Cataloging & Classification Quarterly,Dealing with Serial Title Changes:
3F4CF2FAF0,1988,1980s,Cataloging & Classification Quarterly,DOBIS and the Canadian Union Catalogue
59CA8D6F22,1988,1980s,Cataloging & Classification Quarterly,Evaluation of a Program for Assigning Subject Headings to Local Theses and Dissertations
15384CAC65,1988,1980s,Cataloging & Classification Quarterly,French Fiction:
726B0A0649,1988,1980s,Cataloging & Classification Quarterly,Integrating Concepts
710BA44872,1988,1980s,Cataloging & Classification Quarterly,International Aspects of Bibliographic Control of Newspapers
FC6E8089AD,1988,1980s,Cataloging & Classification Quarterly,List of Selected Acronyms
D1E18CBEEA,1988,1980s,Cataloging & Classification Quarterly,Microcomputer Software Cataloging
0493F412BE,1988,1980s,Cataloging & Classification Quarterly,Monographs of a Regular Frequency
B77AFD83A1,1988,1980s,Cataloging & Classification Quarterly,Music OCLC Recon
193C04C9E3,1988,1980s,Cataloging & Classification Quarterly,National and International Implications of the Linked Systems Protocol for Online Bibliographic Systems
9DFE00CF32,1988,1980s,Cataloging & Classification Quarterly,Norwegian Bibliographic Databases and the Problem of Duplicate Records
5FDF485ACA,1988,1980s,Cataloging & Classification Quarterly,OCLC's International Initiatives and the Online Union Catalog
6AFDF29A9E,1988,1980s,Cataloging & Classification Quarterly,Organization and Use of Large-Scale Bibliographic Databases
BFF1C38C94,1988,1980s,Cataloging & Classification Quarterly,Records and Access
85FBB5755E,1988,1980s,Cataloging & Classification Quarterly,Rules for Latest Entry Cataloging:
9D6455D624,1988,1980s,Cataloging & Classification Quarterly,Shared Cataloging and Original Catalogers' Statistics
BF3A2A3AD9,1988,1980s,Cataloging & Classification Quarterly,Subject Bibliography in the Twenty-First Century
836238D8F1,1988,1980s,Cataloging & Classification Quarterly,Subject Suggestions 1
32EDD0E487,1988,1980s,Cataloging & Classification Quarterly,Subject Suggestions 2
73A06696AC,1988,1980s,Cataloging & Classification Quarterly,Subject Suggestions 3:
8272BBB90F,1988,1980s,Cataloging & Classification Quarterly,Technical Report Cataloging for OCLC
EB67EF023F,1988,1980s,Cataloging & Classification Quarterly,Technical Services Reorganization for an Online Integrated Environment
A0B2815828,1988,1980s,Cataloging & Classification Quarterly,The British National Bibliographic Service
1C9FEAE68D,1988,1980s,Cataloging & Classification Quarterly,The Development of CJK Bibliographic Databases in North America and East Asia
F54FEE2A73,1988,1980s,Cataloging & Classification Quarterly,"The Impact of the Implementation of NOTIS on the Technical Services Workflow at the Milton S. Eisenhower Library, Johns Hopkins University"
001F2C754F,1988,1980s,Cataloging & Classification Quarterly,The Music Uniform Title:
B982C1E399,1988,1980s,Cataloging & Classification Quarterly,The RLIN Database
73A5232483,1988,1980s,Cataloging & Classification Quarterly,The Utlas Database
E6EBE8303C,1988,1980s,Cataloging & Classification Quarterly,Using the OCLC CJK350 at the University of Oregon Library
5F40938C5B,1988,1980s,Cataloging & Classification Quarterly,Verification
5262F4DDC9,1988,1980s,Cataloging & Classification Quarterly,WLN's Database
17629E0463,1988,1980s,Cataloging & Classification Quarterly,Writing Summary Notes for Films and Videos
E07A664768,1989,1980s,Cataloging & Classification Quarterly,A Reference Librarian's View of the Online Subject Catalog
5F061AA43B,1989,1980s,Cataloging & Classification Quarterly,A Subject Cataloging Code?
2371803FF6,1989,1980s,Cataloging & Classification Quarterly,Authority Control and the Authority File
AC7274B65C,1989,1980s,Cataloging & Classification Quarterly,Authority Control in an International Context
BD31C5DAB1,1989,1980s,Cataloging & Classification Quarterly,Authority Control in NOTIS
4F56697273,1989,1980s,Cataloging & Classification Quarterly,Authority Control on the Geac Bibliographic Processing System
11CCCD4452,1989,1980s,Cataloging & Classification Quarterly,Cataloging a Special Art Collection
5D8F0EAAF5,1989,1980s,Cataloging & Classification Quarterly,Cataloging Catalysis
E5D7EF49C0,1989,1980s,Cataloging & Classification Quarterly,Considerations for Authority Control in the Online Environment
7348B629B9,1989,1980s,Cataloging & Classification Quarterly,Creating an Interactive Authority File for Names in the UCLA ORION System
6D03933A31,1989,1980s,Cataloging & Classification Quarterly,Editions and Printings
E7E1605825,1989,1980s,Cataloging & Classification Quarterly,Failures in Subject Retrieval
E92D2F6690,1989,1980s,Cataloging & Classification Quarterly,Implementing NOTIS Keyword/Boolean Searching
D5E4325590,1989,1980s,Cataloging & Classification Quarterly,Matching LCSH and User Vocabulary in the Library Catalog
25E731223B,1989,1980s,Cataloging & Classification Quarterly,Name Authority in a NOTIS Environment - Auburn University Libraries
97634217B3,1989,1980s,Cataloging & Classification Quarterly,PRECIS in the Online Catalog
3B1459CB46,1989,1980s,Cataloging & Classification Quarterly,Research and Theoretical Considerations in Authority Control
1B899F5ED7,1989,1980s,Cataloging & Classification Quarterly,Subject Access in a Bilingual Online Catalogue
C68F144D9E,1989,1980s,Cataloging & Classification Quarterly,Subject Access in Online Catalogs
85ABA5BA85,1989,1980s,Cataloging & Classification Quarterly,Subject Access in the Online Catalog
1B0B1EF640,1989,1980s,Cataloging & Classification Quarterly,Subject Searching in Law Library OPACs
C8CB2D286E,1989,1980s,Cataloging & Classification Quarterly,Subject Suggestions 4
71CB7A3B77,1989,1980s,Cataloging & Classification Quarterly,The Classification of Literature in the Dewey Decimal Classification
2196246AEE,1989,1980s,Cataloging & Classification Quarterly,The MARC Archival and Manuscripts Control (AMC) Format
B039B9F24B,1989,1980s,Cataloging & Classification Quarterly,The No-Main-Entry Principle
1A0A018DE5,1989,1980s,Cataloging & Classification Quarterly,The Online Catalog
A5BA3C4FA6,1989,1980s,Cataloging & Classification Quarterly,The Role of Classification in Online Systems
3C39CD8BB1,1989,1980s,Cataloging & Classification Quarterly,Title Words as Entry Vocabulary to LCSH
98351892C7,1989,1980s,Cataloging & Classification Quarterly,Uniform Titles for Music
08CB4891D7,1989,1980s,Cataloging & Classification Quarterly,Use Study of OCLC cataloging in the Marine Sciences
DA4E47B350,1989,1980s,Cataloging & Classification Quarterly,Variation in Personal Names in Works Represented in the Catalog
0E71B75D74,1989,1980s,Cataloging & Classification Quarterly,Women in Literature
300BAB327B,1990,1990s,Cataloging & Classification Quarterly,"""A More Curious, and More Compleat Piece"""
E65EC3C668,1990,1990s,Cataloging & Classification Quarterly,"""The Library of Congress Classification System in an Online Environment' ' :"
B98663FC39,1990,1990s,Cataloging & Classification Quarterly,Access to Information in an Online Environment:
1D77543624,1990,1990s,Cataloging & Classification Quarterly,Authority Work for Transitional Catalogs
FEC7AD3D76,1990,1990s,Cataloging & Classification Quarterly,Cataloging Rare Maps
ACFEB48787,1990,1990s,Cataloging & Classification Quarterly,Cataloging Sound Recordings Using Archival Methods
2A95EB2CF2,1990,1990s,Cataloging & Classification Quarterly,"Cataloging, Classification, and Pedagogy:"
5DA300B9AF,1990,1990s,Cataloging & Classification Quarterly,Choice and Form of Access Points According to AACR 2
06A3F5C500,1990,1990s,Cataloging & Classification Quarterly,Control of Cartographic Materials in Archives
BBB4D3A320,1990,1990s,Cataloging & Classification Quarterly,Coping with Conference Proceedings
4ADBCE0215,1990,1990s,Cataloging & Classification Quarterly,Definition and Scope of Multiple Versions
3D4D712D53,1990,1990s,Cataloging & Classification Quarterly,Descriptive Cataloging for Archival Materials
F1B85FE8FE,1990,1990s,Cataloging & Classification Quarterly,Dewey Decimal Classification in the Online' Environment:
359D21A9ED,1990,1990s,Cataloging & Classification Quarterly,Dynamics of the OCLC Online Union Catalog
46F250A5DC,1990,1990s,Cataloging & Classification Quarterly,Effects of Computerization Requirements on the BahA'i Classification Scheme in Use at the Bahi'i World Centre
E024901D48,1990,1990s,Cataloging & Classification Quarterly,Establishing Geographic Names
5733B3419A,1990,1990s,Cataloging & Classification Quarterly,Expert Systems for Cataloging:
E5A407B754,1990,1990s,Cataloging & Classification Quarterly,Intellectual Level as a Search Enhancement in the Online Environment:
0CEF6E9BF3,1990,1990s,Cataloging & Classification Quarterly,Key Title and the Entry of Serials
056A91EB83,1990,1990s,Cataloging & Classification Quarterly,L.C. Subclass PL8000-8844
FE91260B84,1990,1990s,Cataloging & Classification Quarterly,Library of Congress Classification Numbers as Subject Access Points in Computer-Based Retrieval
32663F8DCA,1990,1990s,Cataloging & Classification Quarterly,Library of Congress Subject Headings:
38B89469F9,1990,1990s,Cataloging & Classification Quarterly,MRDF
3326E3AC07,1990,1990s,Cataloging & Classification Quarterly,New Promise for the Universal Control of Recorded Knowledge
9EBFA42E5A,1990,1990s,Cataloging & Classification Quarterly,Original Cataloging at the New York Chiropractic College Media Resources Library
B78A22E214,1990,1990s,Cataloging & Classification Quarterly,Paraprofessional Involvement in Music Cataloging
FC421944C8,1990,1990s,Cataloging & Classification Quarterly,Proposed Definitional Conditions as a Basis to Study the Concept of Map Author
38F74349F6,1990,1990s,Cataloging & Classification Quarterly,Reading Formatting
7676DF1F1D,1990,1990s,Cataloging & Classification Quarterly,Recat vs. Recon of Serials
BCB6D5AEA5,1990,1990s,Cataloging & Classification Quarterly,Series in an Online Integrated System:
6CAFC5BABD,1990,1990s,Cataloging & Classification Quarterly,So That Others May See
FEBB010F2C,1990,1990s,Cataloging & Classification Quarterly,Subject Access to Archival Materials Using LCSH
83DFD2457B,1990,1990s,Cataloging & Classification Quarterly,Subject Suggestions 5
61D0ACD28F,1990,1990s,Cataloging & Classification Quarterly,Subject Suggestions 6
CB1BD79366,1990,1990s,Cataloging & Classification Quarterly,Subject Suggestions 7:
3CEF883F7A,1990,1990s,Cataloging & Classification Quarterly,Summation of Classification as an Enhancement of Intellectual Access to Information in an Online Environment
01775F27C3,1990,1990s,Cataloging & Classification Quarterly,The Automation Odyssey
E882CD5EEF,1990,1990s,Cataloging & Classification Quarterly,Things are Taking a Little Longer Than That:
